,symbol,name,area,industry,fullname,enname,market,list_date,code,exchange
2692,600303,曙光股份,辽宁,汽车整车,辽宁曙光汽车集团股份有限公司,"Liaoning SG Automotive Group Co.,Ltd.",主板,20001226,sh.600303,沪
2693,600305,恒顺醋业,江苏,食品,江苏恒顺醋业股份有限公司,"Jiangsu Hengshun Vinegar-Industry Co.,Ltd",主板,20010206,sh.600305,沪
2694,600306,*ST商城,辽宁,百货,沈阳商业城股份有限公司,"Shenyang Commercial City Co.,Ltd.",主板,20001226,sh.600306,沪
2695,600307,酒钢宏兴,甘肃,普钢,甘肃酒钢集团宏兴钢铁股份有限公司,"Gansu Jiu Steel Group Hongxing Iron & Steel Co.,Ltd.",主板,20001220,sh.600307,沪
2696,600308,华泰股份,山东,造纸,山东华泰纸业股份有限公司,"Shandong Huatai Paper Industry Shareholding Co.,Ltd",主板,20000928,sh.600308,沪
2697,600309,万华化学,山东,化工原料,万华化学集团股份有限公司,"Wanhua Chemical Group Co.,Ltd.",主板,20010105,sh.600309,沪
2698,600310,桂东电力,广西,水力发电,广西桂东电力股份有限公司,"Guangxi Guidong Electric Power Co.,Ltd",主板,20010228,sh.600310,沪
2699,600311,ST荣华,甘肃,黄金,甘肃荣华实业(集团)股份有限公司,"Gansu Ronghua Industry Group Co.,Ltd.",主板,20010626,sh.600311,沪
2700,600312,平高电气,河南,电气设备,河南平高电气股份有限公司,"Henan Pinggao Electric Co.,Ltd",主板,20010221,sh.600312,沪
2701,600313,农发种业,北京,种植业,中农发种业集团股份有限公司,"Zhongnongfa Seed Industry Group Co., Ltd.",主板,20010119,sh.600313,沪
2702,600315,上海家化,上海,日用化工,上海家化联合股份有限公司,"Shanghai Jahwa United Co.,Ltd.",主板,20010315,sh.600315,沪
2703,600316,洪都航空,江西,航空,江西洪都航空工业股份有限公司,"Jiangxi Hongdu Aviation Industry Co.,Ltd.",主板,20001215,sh.600316,沪
2704,600318,新力金融,安徽,多元金融,安徽新力金融股份有限公司,"Anhui Xinli Finance Co.,Ltd.",主板,20001208,sh.600318,沪
2705,600319,*ST亚星,山东,化工原料,潍坊亚星化学股份有限公司,"Weifang Yaxing Chemical Co.,Ltd.",主板,20010326,sh.600319,沪
2706,600320,振华重工,上海,工程机械,上海振华重工(集团)股份有限公司,"Shanghai Zhenhua Heavy Industries Co.,Ltd.",主板,20001221,sh.600320,沪
2707,600321,正源股份,四川,其他建材,正源控股股份有限公司,"Rightway Holdings Co., Ltd",主板,20010524,sh.600321,沪
2708,600322,天房发展,天津,区域地产,天津市房地产发展(集团)股份有限公司,"Tianjin Realty Development(Group) Co.,Ltd.",主板,20010910,sh.600322,沪
2709,600323,瀚蓝环境,广东,水务,瀚蓝环境股份有限公司,"Grandblue Environment Co.,Ltd.",主板,20001225,sh.600323,沪
2710,600325,华发股份,广东,区域地产,珠海华发实业股份有限公司,"Huafa Industrial Co.,Ltd.Zhuhai",主板,20040225,sh.600325,沪
2711,600326,西藏天路,西藏,水泥,西藏天路股份有限公司,"Tibet Tianlu Co., Ltd.",主板,20010116,sh.600326,沪
2712,600327,大东方,江苏,汽车服务,无锡商业大厦大东方股份有限公司,"Wuxi Commercial Mansion Grand Orient Co.,Ltd",主板,20020625,sh.600327,沪
2713,600328,中盐化工,内蒙,化工原料,中盐内蒙古化工股份有限公司,"CNSIG Inner Mongolia Chemical Industry Co., Ltd.",主板,20001222,sh.600328,沪
2714,600329,中新药业,天津,中成药,天津中新药业集团股份有限公司,Tianjin Zhongxin Pharmaceutical Group Corporation Limited,主板,20010606,sh.600329,沪
2715,600330,天通股份,浙江,元器件,天通控股股份有限公司,"TDG Holding Co.,Ltd",主板,20010118,sh.600330,沪
2716,600331,宏达股份,四川,铅锌,四川宏达股份有限公司,"Sichuan Hongda Co.,Ltd",主板,20011220,sh.600331,沪
2717,600332,白云山,广东,中成药,广州白云山医药集团股份有限公司,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,主板,20010206,sh.600332,沪
2718,600333,长春燃气,吉林,供气供热,长春燃气股份有限公司,"Changchun Gas Co.,Ltd",主板,20001211,sh.600333,沪
2719,600335,国机汽车,天津,汽车配件,国机汽车股份有限公司,"Sinomach Automobile Co., Ltd.",主板,20010305,sh.600335,沪
2720,600336,澳柯玛,山东,家用电器,澳柯玛股份有限公司,"AUCMA Co.,Ltd.",主板,20001229,sh.600336,沪
2721,600337,美克家居,新疆,家居用品,美克国际家居用品股份有限公司,"Markor International Home Furnishings Co., Ltd.",主板,20001127,sh.600337,沪
2722,600338,西藏珠峰,西藏,铅锌,西藏珠峰资源股份有限公司,"Tibet Summit Resources Co., Ltd.",主板,20001227,sh.600338,沪
